3.213, 4.635, 2.014, 2.094, 2.924, 4.35, 2.653, 1.688, 3.667, 2.886, 2.471, 4.237, 2.926, 2.061, 4.389, 0.982, 4.237, 2.705, 2.67, 1.556, 3.651, 4.683, 3.646, 3.112, 2.6, 3.124, 2.951, 1.675, 3.477, 3.576
4.69, 3.616, 3.476, 4.239, 1.719, 2.852, 3.084, 3.516, 3.729, 1.67, 5.072, 4.434, 4.242, 2.575, 1.964, 2.055, 3.637, 3.604, 2.3, 4.294, 1.556, 3.648, 2.742, 3.916, 1.763, 3.598, 3.04, 2.987, 2.903, 4.022
2.388, 2.01, 3.574, 3.282, 2.408, 3.784, 2.125, 2.773, 1.589, 3.423, 1.651, 2.085, 4.904, 3.571, 2.394, 2.446, 1.841, 4.698, 2.463, 2.198, 2.111, 1.672, 1.95, 3.404, 1.911, 1.894, 4.612, 3.251, 2.492, 3.075
4.367, 2.586, 2.318, 4.788, 4.458, 5.482, 2.202, 3.147, 2.057, 2.337, 4.885, 1.337, 2.678, 2.687, 1.809, 1.274, 4.099, 2.954, 2.514, 1.971, 3.78, 2.645, 4.017, 3.005, 5.548, 2.587, 2.163, 3.127, 1.683, 2.656
4.131, 4.506, 4.075, 2.776, 3.826, 3.258, 2.692, 2.51, 2.322, 2.679, 3.585, 2.584, 1.955, 2.643, 3.918, 4.184, 3.02, 2.046, 3.886, 1.92, 2.855, 4.513, 3.97, 2.216, 3.547, 4.603, 1.631, 3.589, 2.636, 4.055
2.453, 3.504, 4.404, 3.745, 3.726, 3.431, 3.074, 3.409, 2.921, 3.525, 2.046, 4.442, 2.414, 3.651, 0.859, 2.325, 1.68, 2.973, 1.922, 3.079, 3.06, 4.101, 5.309, 2.797, 3.518, 2.957, 3.693, 2.939, 3.927, 3.074
2.621, 0.92, 3.959, 1.879, 2.198, 2.92, 1.058, 1.896, 1.796, 1.824, 1.26, 2.02, 2.073, 2.703, 4.113, 1.677, 2.589, 1.702, 2.375, 2.684, 3.497, 3.406, 3.0, 2.329, 2.312, 3.604, 4.649, 5.21, 3.711, 4.072
2.995, 1.925, 2.036, 2.805, 2.184, 4.163, 2.034, 4.276, 2.354, 3.669, 3.408, 3.97, 3.729, 3.045, 2.8, 3.077, 3.559, 2.24, 3.157, 2.865, 3.165, 3.575, 4.488, 2.771, 3.702, 4.354, 3.075, 2.117, 3.774, 3.921
2.913, 2.872, 1.133, 4.624, 1.852, 5.22, 3.334, 3.27, 2.85, 2.35, 1.995, 4.294, 1.828, 2.626, 4.057, 1.639, 2.711, 1.738, 2.677, 1.987, 1.472, 4.008, 3.407, 2.262, 4.498, 2.459, 4.705, 1.707, 2.225, 3.838
2.3, 1.701, 2.314, 2.208, 2.783, 2.782, 3.798, 1.642, 1.787, 2.572, 3.636, 2.696, 3.056, 1.933, 2.582, 4.334, 2.145, 3.29, 3.256, 4.49, 3.45, 2.266, 2.961, 4.882, 3.917, 3.561, 2.402, 1.998, 3.597, 2.72
2.688, 2.592, 3.63, 2.707, 3.104, 4.068, 3.004, 3.953, 1.832, 1.822, 3.108, 5.102, 3.085, 3.739, 2.043, 3.999, 2.101, 2.611, 3.03, 2.112, 3.719, 2.27, 2.181, 1.847, 4.796, 2.501, 4.759, 2.335, 1.385, 4.4
2.414, 3.984, 2.19, 2.32, 2.897, 2.754, 2.048, 4.289, 1.474, 2.449, 1.674, 4.135, 3.394, 2.397, 3.198, 2.544, 3.393, 2.685, 1.797, 3.554, 4.282, 1.728, 4.059, 2.245, 3.377, 3.242, 2.955, 2.175, 5.171, 2.245
2.028, 3.78, 0.973, 3.689, 2.424, 3.484, 4.016, 1.618, 4.501, 2.207, 1.748, 1.9, 4.597, 4.12, 4.352, 2.643, 2.153, 3.588, 3.907, 1.842, 2.094, 3.967, 4.211, 1.749, 3.2, 3.423, 2.774, 3.452, 2.813, 2.993
2.984, 2.335, 4.077, 3.993, 4.491, 2.928, 1.984, 3.212, 2.231, 1.786, 3.458, 2.272, 3.289, 4.046, 2.725, 3.264, 3.044, 1.715, 4.022, 5.084, 3.775, 1.484, 2.175, 2.33, 3.566, 2.986, 4.351, 1.921, 2.503, 1.847
4.318, 2.38, 1.612, 3.22, 3.095, 2.848, 1.672, 3.303, 4.258, 2.101, 2.283, 2.702, 1.796, 2.134, 3.663, 5.231, 2.655, 4.878, 3.606, 3.87, 2.661, 3.4, 3.818, 3.791, 4.361, 4.401, 3.195, 3.275, 2.708, 3.889
4.14, 1.64, 3.375, 2.225, 3.913, 2.695, 2.139, 3.159, 2.633, 2.479, 3.864, 1.739, 2.721, 2.475, 3.527, 2.817, 2.786, 2.184, 1.681, 4.084, 4.134, 2.143, 3.591, 2.807, 3.106, 2.634, 2.441, 3.06, 4.058, 3.654
3.263, 1.467, 2.763, 3.084, 2.952, 4.24, 3.401, 1.839, 2.792, 3.787, 2.964, 2.746, 2.752, 2.473, 1.823, 4.941, 4.021, 2.093, 1.874, 2.249, 1.787, 3.14, 2.749, 3.84, 3.027, 2.226, 3.524, 3.512, 2.296, 2.243
3.824, 2.165, 2.608, 3.933, 2.637, 2.921, 5.188, 2.403, 3.625, 2.148, 2.572, 2.023, 2.902, 1.798, 2.86, 2.195, 3.598, 2.412, 1.89, 2.271, 2.28, 1.463, 5.392, 3.808, 2.181, 3.322, 2.503, 4.489, 4.253, 2.98
3.891, 3.5, 3.63, 2.63, 3.64, 5.076, 2.398, 1.661, 3.559, 2.367, 4.354, 3.281, 3.27, 2.915, 2.362, 3.912, 2.165, 3.897, 3.506, 2.201, 1.523, 1.206, 3.694, 3.229, 4.603, 3.093, 3.504, 3.44, 2.406, 2.698
4.617, 4.919, 1.221, 2.408, 3.269, 2.225, 3.78, 2.743, 1.821, 4.798, 3.072, 1.97, 2.717, 3.244, 3.942, 2.43, 4.266, 4.303, 2.424, 4.064, 3.545, 1.859, 3.879, 2.049, 2.677, 3.276, 2.938, 2.466, 2.304, 2.247
3.227, 3.421, 4.241, 1.422, 0.827, 3.095, 2.846, 3.569, 2.217, 1.568, 3.158, 2.697, 2.181, 2.803, 2.377, 2.581, 2.108, 2.453, 2.565, 2.055, 3.676, 2.951, 4.439, 4.178, 3.696, 3.545, 4.374, 1.792, 2.41, 3.132
1.987, 2.642, 2.259, 3.604, 3.503, 3.259, 2.541, 2.289, 4.095, 2.106, 1.682, 3.91, 4.288, 4.313, 3.928, 4.051, 1.937, 4.16, 3.984, 4.49, 1.096, 4.045, 2.077, 3.111, 2.684, 4.22, 3.429, 3.549, 3.925, 4.079
1.571, 3.473, 2.397, 5.242, 3.873, 2.4, 3.397, 2.486, 1.577, 1.879, 2.371, 4.0, 3.967, 1.9, 1.496, 2.442, 3.928, 3.067, 2.07, 2.755, 2.893, 4.614, 4.469, 3.175, 2.302, 2.0, 4.184, 2.878, 3.234, 2.65
2.99, 2.835, 3.709, 3.622, 4.231, 2.672, 2.752, 2.719, 4.389, 1.868, 3.599, 3.003, 2.701, 2.713, 3.02, 1.794, 2.582, 1.994, 4.25, 6.718, 3.486, 3.788, 3.153, 3.17, 2.2, 4.017, 3.602, 3.784, 4.252, 2.897
2.593, 1.588, 3.066, 1.877, 3.429, 1.498, 1.961, 3.392, 2.409, 1.606, 4.736, 3.726, 4.018, 2.253, 1.798, 4.227, 3.037, 2.812, 2.763, 1.836, 3.551, 1.933, 3.514, 4.7, 2.499, 2.677, 2.309, 3.204, 2.762, 2.496
3.764, 3.896, 3.558, 2.256, 1.943, 4.147, 1.646, 2.808, 2.29, 2.578, 4.887, 2.945, 2.746, 3.321, 4.287, 4.005, 2.543, 1.758, 3.265, 2.508, 2.085, 3.411, 2.478, 3.404, 2.013, 2.689, 4.166, 4.102, 2.511, 2.954
1.712, 1.556, 4.721, 4.791, 2.733, 3.508, 4.429, 2.159, 3.12, 3.381, 2.401, 3.669, 3.205, 3.33, 1.571, 3.611, 2.215, 1.828, 1.507, 3.74, 2.203, 3.107, 3.862, 2.569, 3.416, 2.443, 1.849, 1.934, 3.851, 1.513
3.038, 2.989, 2.331, 3.979, 1.839, 4.693, 2.196, 1.943, 3.042, 2.363, 3.655, 2.118, 4.115, 2.881, 3.404, 3.388, 2.108, 3.942, 4.399, 3.339, 2.72, 1.923, 2.46, 1.899, 3.803, 1.61, 2.837, 3.045, 3.037, 1.991
3.922, 3.576, 4.088, 1.913, 2.685, 3.531, 3.271, 3.307, 2.358, 2.413, 3.353, 3.391, 3.548, 2.519, 2.364, 1.435, 4.431, 4.006, 2.607, 4.871, 2.193, 2.369, 2.669, 3.414, 3.674, 2.859, 3.084, 1.672, 4.266, 1.747
4.174, 3.893, 3.838, 4.553, 2.796, 3.85, 2.219, 3.658, 2.552, 1.624, 3.764, 3.952, 2.861, 2.648, 3.03, 2.741, 4.33, 2.075, 3.451, 2.162, 3.782, 2.668, 3.771, 3.537, 3.114, 4.683, 2.976, 3.577, 2.075, 4.104
3.919, 2.081, 1.844, 2.154, 2.416, 2.496, 1.863, 4.849, 2.502, 4.594, 3.184, 2.991, 2.953, 3.02, 3.659, 3.2, 4.438, 4.233, 1.617, 4.496, 3.003, 3.78, 2.44, 1.768, 2.03, 4.695, 1.519, 4.274, 2.336, 2.642
4.325, 2.423, 2.668, 4.814, 2.098, 2.692, 6.658, 2.505, 2.197, 1.986, 4.023, 2.008, 2.649, 2.192, 2.941, 1.617, 2.574, 2.28, 4.544, 2.472, 2.442, 2.26, 2.537, 1.836, 3.386, 2.066, 3.796, 3.642, 2.789, 2.469
3.543, 2.35, 3.653, 3.565, 2.513, 4.472, 4.776, 2.404, 2.291, 2.77, 3.258, 2.165, 4.211, 3.851, 2.042, 2.39, 2.863, 1.588, 0.898, 2.072, 3.826, 2.088, 4.25, 2.097, 2.968, 2.439, 2.083, 3.927, 2.95, 2.107
4.866, 3.43, 2.9, 2.42, 4.655, 2.737, 3.363, 4.02, 3.184, 3.772, 2.115, 3.308, 3.229, 3.357, 4.622, 4.473, 3.446, 3.088, 2.526, 1.89, 2.902, 3.594, 3.224, 1.887, 3.088, 2.62, 2.385, 2.952, 3.295, 2.236
2.737, 4.157, 1.042, 2.944, 2.595, 1.973, 2.153, 1.801, 3.08, 2.774, 2.164, 3.362, 3.703, 2.656, 1.553, 3.61, 1.493, 4.265, 2.497, 3.585, 3.457, 3.427, 2.98, 3.141, 3.264, 3.453, 1.933, 3.366, 1.756, 1.609
2.183, 2.047, 3.516, 2.617, 2.86, 2.448, 3.066, 2.402, 2.376, 2.219, 3.065, 4.018, 1.066, 4.339, 2.765, 2.373, 2.748, 3.26, 2.393, 2.489, 2.883, 3.75, 2.578, 2.956, 4.921, 3.843, 3.902, 3.12, 1.918, 4.49
3.28, 4.623, 3.398, 3.45, 2.193, 3.334, 3.952, 2.367, 3.076, 2.607, 4.742, 4.72, 3.866, 4.735, 3.226, 4.435, 2.974, 3.622, 4.215, 3.491, 2.814, 1.525, 3.615, 2.884, 4.062, 4.747, 3.397, 3.125, 1.687, 3.873
2.05, 1.876, 2.862, 2.788, 3.367, 2.657, 1.929, 3.097, 2.918, 3.404, 1.852, 3.366, 2.152, 1.166, 3.16, 4.41, 1.442, 2.614, 4.013, 3.295, 4.477, 3.553, 2.786, 3.593, 3.278, 3.372, 3.532, 3.689, 2.741, 3.996
